TIME,lat,lon,alt,vel-ns,vel-ew,vel-v,roll,pitch,hdg,p,q,r,ts,ps-pitot,ps-858,ps-hgppt2,ps-aero,ps-aimms,pd-pitot,pd-858,pd-hgppt2,pd-aero,pd-aimms,aoa-aimms,aoa-858,aoa-aero,aos-aimms,aos-858,aos-aero
2021-09-17 18:19:02,46.7948746823283,-71.38490298714068,74.5190831739784,3.625562450943757,3.6637846084266847,-0.0062918490043662,-0.355847077517108,-0.3804404541123832,45.59838904596587,-0.2935461000187873,0.1215476870742385,0.6517980633293912,23.918985154165284,1014.2543388135148,-0.7959562044332109,1012.812248088143,1014.2251692187876,1014.2429,-0.5578886284365387,-139.90883229290856,0.1746362505921364,-2.3559837716010217e-05,0.28531983,0.023339843,-68.55775851733512,0.0,0.16271484,69.13073833611521,0.0
2021-09-17 18:19:03,46.79490763597197,-71.38485454444941,74.54745293258873,3.6858568675929946,3.7436280321445152,-0.0433022396288946,-0.2936270965734405,-0.4134647110874605,45.73715136217307,0.1846122767682029,-0.0142749876926931,-0.2569346495792346,23.89487477392231,1014.2541841357524,-0.7458970626457474,1013.0020185063872,1014.424728813946,1014.24493,-0.5385325818901392,-139.8965235863993,0.0736026990744012,1.747605688468031e-06,0.2613501,0.03673828,-68.55367107417916,0.0,0.17523438,69.12587118474451,0.0
2021-09-17 18:19:04,46.79494109440768,-71.3848053124299,74.57817831300349,3.758520314775703,3.790006541893864,-0.0243092965949211,-0.1924362764869183,-0.3809962535474398,45.47066611615991,0.1989406922153291,-0.1641510819070617,-0.1946630296553736,23.861178084012522,1014.2401373733762,-0.7848484211883926,1012.980543535368,1014.4441220644457,1014.16187,-0.5412682854606126,-139.9134212012685,0.1623134740626972,1.8071373348511744e-05,0.2316504,0.05671875,-68.56157164810797,0.0,0.20001954,69.13308911705094,0.0
2021-09-17 18:19:05,46.794975295098936,-71.3847553800292,74.59692602831997,3.824018467152383,3.831967261644056,-0.0003627167671638,-0.1999747182997172,-0.3062665958070347,45.34351380839543,0.189037062180571,0.4223025363257202,-0.0711398589832487,23.822702724126657,1014.2725152569208,-0.7730930545788333,1012.9620457070783,1015.0,1014.14923,-0.533953102965736,-139.9004584064087,0.1051273878902691,0.0,0.2670337,0.025175782,-68.55371263552917,0.0,0.17884766,69.12592903249649,0.0
2021-09-17 18:19:06,46.79500997946568,-71.38470483925684,74.62740426070823,3.8744203113993376,3.882492348564325,-0.0072965994734435,-0.1877035247322485,-0.2906303426749559,45.315796,-0.0384692387506344,-0.2648200846230028,0.0122878391896254,23.785307409847462,1014.26618873003,-0.7496807779879385,1013.0093742050368,1014.4540036993244,1014.2848,-0.5292177304163289,-139.9004758223684,0.089001595615526,-3.89857317932359e-06,0.23523925,0.025722656,-68.5601188185307,0.0,0.18345703,69.13069745065789,0.0
2021-09-17 18:19:07,46.79504510843637,-71.38465372095762,74.65754323033309,3.9215253355789,3.9265766676797016,-0.0231694792537071,-0.194675110402569,-0.2421680421496765,45.344302359627214,0.0339709988592617,-0.0701182312003511,0.0649762365536874,23.76194520798947,1014.2471852354386,-0.7962905604804691,1012.9489878860736,1013.9117450511944,1014.12665,-0.5382298274284147,-139.91260053099455,0.1584562393727565,2.515131744283277e-05,0.22583252,0.0046484377,-68.56226136895542,0.0,0.16486329,69.13263668605067,0.0
2021-09-17 18:19:08,46.79508053036128,-71.38460208583918,74.69414327739058,3.960375205544501,3.9671434824241225,-0.0280633998842479,-0.1009250195254069,-0.2568086726644051,45.33062265614728,0.1286402232633305,0.015948123850736,-0.1520057778810968,23.76149085178571,1014.2736451755954,-0.7584546737705935,1012.8477058154908,1014.6214196161636,1014.1929,-0.5347283579786853,-139.89442025558498,0.2094017883962199,1.3453583245341195e-05,0.31924316,-0.023867188,-68.55637222506735,0.0,0.13556641,69.12521944496102,0.0
2021-09-17 18:19:09,46.7951164618262,-71.38454987240928,74.72677593760068,4.021220941679091,3.9972347336324057,-0.0238342263403182,-0.0855203660453487,-0.3209686124064832,45.12764719496879,-0.020642916059581,-0.1883265509771446,-0.1504815220263314,23.73478998168747,1014.247250907964,-0.7670155193381495,1012.8076267075196,1014.908577499718,1014.3622,-0.534981439825034,-139.90783365972868,0.3309899331599146,-1.6592232642655845e-05,0.28716797,0.040566407,-68.5613077840164,0.0,0.14753906,69.13360388551129,0.0
2021-09-17 18:19:10,46.79515287494503,-71.38449727709464,74.75060765014086,4.062029044699839,4.034287042506259,-0.0234225901379408,-0.1266360615694364,-0.3866606659121096,45.04285287604309,-0.0548542489875602,0.0814888903901589,-0.0461425433580418,23.688055118440218,1014.2626615926376,-0.7783696313239397,1012.7763160685876,1014.3956760188316,1014.25287,-0.5047865433087761,-139.90944301003742,0.2941168940779294,8.302026578837963e-06,0.33946776,-0.0060546873,-68.55870176546742,0.0,0.1436914,69.12699631442672,0.0
2021-09-17 18:19:11,46.79518960784935,-71.38444430277389,74.77995350306092,4.114699296857609,4.08042031893073,-0.0133784037341137,-0.1063985560996577,-0.3332246557901543,45.00377873363098,0.3576401771669349,-0.0753841149566233,-0.0457806737317514,23.680276262867494,1014.2353347709987,-0.7545927259877441,1012.7811657795664,1014.7604246373528,1014.1715,-0.5007347636819016,-139.89456753689882,0.2836529797884397,-1.8152094031380327e-05,0.2724585,-0.009550781,-68.55558123083526,0.0,0.23847656,69.128545492501,0.0
